entity_id,detection_lat,detection_lon,detection_timestamp,detection_ontology,detection_ontology_category,detection_ontology_subcategory,detection_confidence,detection_classification_string,detection_algorithm_name,detection_algorithm_version,detection_polygon,bas_confidence_label,detection_source_image_id,bas_source_vendor,bas_source_product_type,bas_source_sensor_type,bas_source_gsd,bas_source_off_nadir_angle,bas_source_niirs,nai_uuids,ispy_link,junk
8abdf427-1c5a-454f-862c-6490da0da289,20.7288790623635,115.13964912483182,2024-01-24T20:43:12Z,Surface Vessel,Vehicle,Vehicle,0.44083,U,_,_,"[{""lat"":20.7283790623635,""lon"":115.13914912483182,""col"":0,""row"":0},{""lat"":20.7283790623635,""lon"":115.14014912483182,""col"":0,""row"":0},{""lat"":20.7293790623635,""lon"":115.14014912483182,""col"":0,""row"":0},{""lat"":20.7293790623635,""lon"":115.13914912483182,""col"":0,""row"":0}]",MEDIUM,_,SatConst3,_,EO,0.12923,0.05090,0.98589,"[""a738420a-8544-47ad-911f-90c0d6cd973a""]",https://images.host.local/prefix/86e9772b-cc3a-438c-b2e8-94b0289d9fad,8ab79677-dad8-4e64-898e-32d8f14fa4ae
d874a835-f35c-4beb-b272-741d02dc7c2c,33.885813566750045,137.7154896293974,2024-01-18T01:30:34Z,Ground Motor Vehicle,Vehicle,Vehicle,0.36068,CUI,_,_,"[{""lat"":33.88531356675004,""lon"":137.71498962939742,""col"":0,""row"":0},{""lat"":33.88531356675004,""lon"":137.7159896293974,""col"":0,""row"":0},{""lat"":33.88631356675005,""lon"":137.7159896293974,""col"":0,""row"":0},{""lat"":33.88631356675005,""lon"":137.71498962939742,""col"":0,""row"":0}]",LOW,_,SatConst2,_,EO,0.08906,0.93562,0.64953,"[""197d3887-ec0b-4a06-aaa8-adaa03d75504""]",https://images.host.local/prefix/0e171c46-88b3-40fe-a150-249d3a35eb03,eb3f6e0f-3d13-4a71-9202-b9a375896f7f
8920a3d5-a991-4cfd-8f34-9609945df149,31.59613092164913,115.54666618482,2024-01-18T01:07:02Z,Surface Vessel,Vehicle,Vehicle,0.68981,U,_,_,"[{""lat"":31.595630921649132,""lon"":115.54616618482,""col"":0,""row"":0},{""lat"":31.595630921649132,""lon"":115.54716618482,""col"":0,""row"":0},{""lat"":31.59663092164913,""lon"":115.54716618482,""col"":0,""row"":0},{""lat"":31.59663092164913,""lon"":115.54616618482,""col"":0,""row"":0}]",LOW,_,SatConst3,_,EO,0.59646,0.16947,0.71897,"[""d14e469e-6ff5-4a99-be86-fac7db52ebf9""]",https://images.host.local/prefix/6d2f8332-a830-4ec5-8f42-e5f36d31f2ec,a5ca522c-d9c2-4a02-b2fd-e00834401ae4
adad5b8d-24f8-452b-9312-245779b3661c,44.95329949556498,137.02649525477062,2024-01-04T15:50:23Z,Bomber Aircraft,Vehicle,Vehicle,0.63225,U,_,_,"[{""lat"":44.952799495564975,""lon"":137.02599525477063,""col"":0,""row"":0},{""lat"":44.952799495564975,""lon"":137.0269952547706,""col"":0,""row"":0},{""lat"":44.95379949556498,""lon"":137.0269952547706,""col"":0,""row"":0},{""lat"":44.95379949556498,""lon"":137.02599525477063,""col"":0,""row"":0}]",VERY LOW,_,SatConst1,_,EO,0.91629,0.09189,0.96875,"[""f8e70d72-fc1a-4dd4-a774-3257c6538cb1""]",https://images.host.local/prefix/602116fe-101a-4edb-9413-9a6d207f61d7,6a810a14-edef-40cc-a199-3e02860cceac
011b62fb-2496-40e2-88c3-fac1f60db52e,13.36128014039759,113.78838406865448,2024-01-06T00:31:57Z,Ground Motor Vehicle,Vehicle,Vehicle,0.28072,CUI,_,_,"[{""lat"":13.360780140397589,""lon"":113.78788406865448,""col"":0,""row"":0},{""lat"":13.360780140397589,""lon"":113.78888406865448,""col"":0,""row"":0},{""lat"":13.36178014039759,""lon"":113.78888406865448,""col"":0,""row"":0},{""lat"":13.36178014039759,""lon"":113.78788406865448,""col"":0,""row"":0}]",HIGH,_,SatConst3,_,EO,0.02038,0.39906,0.54276,"[""7c0464f7-8b3a-4cb5-b63f-bd504d59419b""]",https://images.host.local/prefix/ed764b45-6d38-4f02-ac68-66dd7130dccd,cf3c3739-06f6-44d8-a5bb-1f93cff13808
a109bcd0-7bc6-4fc9-99b2-080ca9cc0e82,20.8558610028021,115.26067676714604,2024-01-07T13:41:58Z,Surface Vessel,Vehicle,Vehicle,0.24178,U,_,_,"[{""lat"":20.855361002802102,""lon"":115.26017676714604,""col"":0,""row"":0},{""lat"":20.855361002802102,""lon"":115.26117676714604,""col"":0,""row"":0},{""lat"":20.8563610028021,""lon"":115.26117676714604,""col"":0,""row"":0},{""lat"":20.8563610028021,""lon"":115.26017676714604,""col"":0,""row"":0}]",VERY LOW,_,SatConst2,_,EO,0.86729,0.88249,0.97438,"[""c12f8e8e-aa7d-4ad4-9e2f-010b1fbfc998""]",https://images.host.local/prefix/27c96dee-c524-447f-b0d8-fb8e00a857c0,9c37eb5d-1bec-442e-b8e7-40401c9a8eb1
8eb24f1f-bf50-46ca-b3e9-c4e9eb90cd1a,35.306542511828184,139.83865054128935,2024-01-23T02:22:04Z,Tank,Vehicle,Vehicle,0.42021,CUI,_,_,"[{""lat"":35.30604251182818,""lon"":139.83815054128937,""col"":0,""row"":0},{""lat"":35.30604251182818,""lon"":139.83915054128934,""col"":0,""row"":0},{""lat"":35.307042511828186,""lon"":139.83915054128934,""col"":0,""row"":0},{""lat"":35.307042511828186,""lon"":139.83815054128937,""col"":0,""row"":0}]",LOW,_,SatConst1,_,EO,0.82411,0.42788,0.39115,"[""57d02eea-d0a6-48ae-be7a-4ebd7576a292""]",https://images.host.local/prefix/74a5570f-bc85-412b-9168-9eea4d295fb3,a8d8dc1f-e3b2-481d-9b6e-21b7e8ef9092
5faaee1e-00d9-4549-b0ad-eb0d3b1825c6,22.411592580278437,123.93494878979145,2024-01-10T19:14:38Z,Bomber Aircraft,Vehicle,Vehicle,0.93797,CUI,_,_,"[{""lat"":22.41109258027844,""lon"":123.93444878979145,""col"":0,""row"":0},{""lat"":22.41109258027844,""lon"":123.93544878979145,""col"":0,""row"":0},{""lat"":22.412092580278436,""lon"":123.93544878979145,""col"":0,""row"":0},{""lat"":22.412092580278436,""lon"":123.93444878979145,""col"":0,""row"":0}]",VERY LOW,_,SatConst1,_,EO,0.73333,0.10130,0.70463,"[""2eabc0ab-e8f0-47f0-99c2-cdcd2e47b935""]",https://images.host.local/prefix/21445bc0-a63a-4455-b85a-d2e074bac359,329c9c8c-5cd4-47a4-981a-8369a8e0fc62
2e23bc4f-e8c7-4880-9eec-f65ef7f528a9,15.573879696497814,111.81143462367362,2024-01-05T09:56:38Z,Airplane,Vehicle,Vehicle,0.68728,U,_,_,"[{""lat"":15.573379696497813,""lon"":111.81093462367362,""col"":0,""row"":0},{""lat"":15.573379696497813,""lon"":111.81193462367362,""col"":0,""row"":0},{""lat"":15.574379696497815,""lon"":111.81193462367362,""col"":0,""row"":0},{""lat"":15.574379696497815,""lon"":111.81093462367362,""col"":0,""row"":0}]",VERY LOW,_,SatConst2,_,EO,0.75626,0.08108,0.60279,"[""170324d9-b259-4b5b-9885-f520d61b41ee""]",https://images.host.local/prefix/fb50f047-7ab7-4bee-9e02-766123ac9957,9150190a-27da-4b2c-80dd-f93c7dc31ac2
0e7f10b2-682b-4e35-824a-449ecdae5e23,31.093575033901644,118.80318946991976,2024-01-20T23:41:46Z,Ground Motor Vehicle,Vehicle,Vehicle,0.16705,CUI,_,_,"[{""lat"":31.093075033901645,""lon"":118.80268946991976,""col"":0,""row"":0},{""lat"":31.093075033901645,""lon"":118.80368946991976,""col"":0,""row"":0},{""lat"":31.094075033901643,""lon"":118.80368946991976,""col"":0,""row"":0},{""lat"":31.094075033901643,""lon"":118.80268946991976,""col"":0,""row"":0}]",HIGH,_,SatConst3,_,EO,0.14347,0.71788,0.86221,"[""e9002208-abcd-4bf6-886d-fd79c9365591""]",https://images.host.local/prefix/e04cd443-e2f3-4e07-9a6b-6d0a23fe83b7,a45705b9-22de-42ea-bcab-5cf18247e498
